いたし,,,,名詞,普通名詞,一般,*,*,*,,いたし,いたし,,いたし,,和,*,*,*,*,OGI_TERMS
え,,,,助詞,格助詞,*,*,*,*,,え,え,,え,,和,*,*,*,*,OGI_TERMS
お,,,,接頭辞,*,*,*,*,*,,お,お,,お,,和,*,*,*,*,OGI_TERMS
おゐて,,,,助詞,格助詞,*,*,*,*,,おゐて,おゐて,,おゐて,,和,*,*,*,*,OGI_TERMS
につき,,,,助詞,格助詞,*,*,*,*,,につき,につき,,につき,,和,*,*,*,*,OGI_TERMS
ゟ,,,,助詞,格助詞,*,*,*,*,,ゟ,ゟ,,ゟ,,和,*,*,*,*,OGI_TERMS
ニて,,,,助詞,格助詞,*,*,*,*,,ニて,ニて,,ニて,,和,*,*,*,*,OGI_TERMS
ニ付,,,,助詞,格助詞,*,*,*,*,,ニ付,ニ付,,ニ付,,和,*,*,*,*,OGI_TERMS
ハ,,,,助詞,格助詞,*,*,*,*,,ハ,ハ,,ハ,,和,*,*,*,*,OGI_TERMS
不仕候,,,,接尾辞,名詞的,一般,*,*,*,,不仕候,不仕候,,不仕候,,和,*,*,*,*,OGI_TERMS
不致候,,,,接尾辞,名詞的,一般,*,*,*,,不致候,不致候,,不致候,,和,*,*,*,*,OGI_TERMS
之事,,,,接尾辞,名詞的,一般,*,*,*,,之事,之事,,之事,,和,*,*,*,*,OGI_TERMS
事,,,,接尾辞,名詞的,一般,*,*,*,,事,事,,事,,和,*,*,*,*,OGI_TERMS
仕候,,,,接尾辞,名詞的,一般,*,*,*,,仕候,仕候,,仕候,,和,*,*,*,*,OGI_TERMS
付,,,,名詞,普通名詞,副詞可能,*,*,*,,付,付,,付,,和,*,*,*,*,OGI_TERMS
候,,,,接尾辞,名詞的,一般,*,*,*,,候,候,,候,,和,*,*,*,*,OGI_TERMS
候事,,,,接尾辞,名詞的,一般,*,*,*,,候事,候事,,候事,,和,*,*,*,*,OGI_TERMS
候処,,,,接尾辞,名詞的,一般,*,*,*,,候処,候処,,候処,,和,*,*,*,*,OGI_TERMS
候哉,,,,接尾辞,名詞的,一般,*,*,*,,候哉,候哉,,候哉,,和,*,*,*,*,OGI_TERMS
候得共,,,,接尾辞,名詞的,一般,*,*,*,,候得共,候得共,,候得共,,和,*,*,*,*,OGI_TERMS
候得者,,,,接尾辞,名詞的,一般,*,*,*,,候得者,候得者,,候得者,,和,*,*,*,*,OGI_TERMS
候所,,,,接尾辞,名詞的,一般,*,*,*,,候所,候所,,候所,,和,*,*,*,*,OGI_TERMS
候由,,,,接尾辞,名詞的,一般,*,*,*,,候由,候由,,候由,,和,*,*,*,*,OGI_TERMS
候間,,,,接尾辞,名詞的,一般,*,*,*,,候間,候間,,候間,,和,*,*,*,*,OGI_TERMS
公,,,,接尾辞,名詞的,一般,*,*,*,,公,公,,公,,和,*,*,*,*,OGI_TERMS
可相成候,,,,接尾辞,名詞的,一般,*,*,*,,可相成候,可相成候,,可相成候,,和,*,*,*,*,OGI_TERMS
可被成下候,,,,接尾辞,名詞的,一般,*,*,*,,可被成下候,可被成下候,,可被成下候,,和,*,*,*,*,OGI_TERMS
右同断之事,,,,接尾辞,名詞的,一般,*,*,*,,右同断之事,右同断之事,,右同断之事,,和,*,*,*,*,OGI_TERMS
右同断事,,,,接尾辞,名詞的,一般,*,*,*,,右同断事,右同断事,,右同断事,,和,*,*,*,*,OGI_TERMS
同断,,,,名詞,普通名詞,副詞可能,*,*,*,,同断,同断,,同断,,和,*,*,*,*,OGI_TERMS
同断事,,,,接尾辞,名詞的,一般,*,*,*,,同断事,同断事,,同断事,,和,*,*,*,*,OGI_TERMS
就,,,,助詞,格助詞,*,*,*,*,,就,就,,就,,和,*,*,*,*,OGI_TERMS
幷,,,,接続詞,*,*,*,*,*,,幷,幷,,幷,,和,*,*,*,*,OGI_TERMS
御,,,,接頭辞,*,*,*,*,*,,御,御,,御,,和,*,*,*,*,OGI_TERMS
御座候,,,,接尾辞,名詞的,一般,*,*,*,,御座候,御座候,,御座候,,和,*,*,*,*,OGI_TERMS
扨又,,,,接続詞,*,*,*,*,*,,扨又,扨又,,扨又,,和,*,*,*,*,OGI_TERMS
於,,,,助詞,格助詞,*,*,*,*,,於,於,,於,,和,*,*,*,*,OGI_TERMS
旨,,,,名詞,普通名詞,副詞可能,*,*,*,,旨,旨,,旨,,和,*,*,*,*,OGI_TERMS
有之候,,,,接尾辞,名詞的,一般,*,*,*,,有之候,有之候,,有之候,,和,*,*,*,*,OGI_TERMS
様,,,,接尾辞,名詞的,一般,*,*,*,,様,様,,様,,和,*,*,*,*,OGI_TERMS
殿,,,,接尾辞,名詞的,一般,*,*,*,,殿,殿,,殿,,和,*,*,*,*,OGI_TERMS
無之候,,,,接尾辞,名詞的,一般,*,*,*,,無之候,無之候,,無之候,,和,*,*,*,*,OGI_TERMS
無御座候,,,,接尾辞,名詞的,一般,*,*,*,,無御座候,無御座候,,無御座候,,和,*,*,*,*,OGI_TERMS
由,,,,名詞,普通名詞,副詞可能,*,*,*,,由,由,,由,,和,*,*,*,*,OGI_TERMS
申上候,,,,接尾辞,名詞的,一般,*,*,*,,申上候,申上候,,申上候,,和,*,*,*,*,OGI_TERMS
申候,,,,接尾辞,名詞的,一般,*,*,*,,申候,申候,,申候,,和,*,*,*,*,OGI_TERMS
相成候,,,,接尾辞,名詞的,一般,*,*,*,,相成候,相成候,,相成候,,和,*,*,*,*,OGI_TERMS
相成申候,,,,接尾辞,名詞的,一般,*,*,*,,相成申候,相成申候,,相成申候,,和,*,*,*,*,OGI_TERMS
相願候,,,,接尾辞,名詞的,一般,*,*,*,,相願候,相願候,,相願候,,和,*,*,*,*,OGI_TERMS
罷出候,,,,接尾辞,名詞的,一般,*,*,*,,罷出候,罷出候,,罷出候,,和,*,*,*,*,OGI_TERMS
罷在候,,,,接尾辞,名詞的,一般,*,*,*,,罷在候,罷在候,,罷在候,,和,*,*,*,*,OGI_TERMS
罷移候,,,,接尾辞,名詞的,一般,*,*,*,,罷移候,罷移候,,罷移候,,和,*,*,*,*,OGI_TERMS
罷立候,,,,接尾辞,名詞的,一般,*,*,*,,罷立候,罷立候,,罷立候,,和,*,*,*,*,OGI_TERMS
罷越,,,,接尾辞,名詞的,一般,*,*,*,,罷越,罷越,,罷越,,和,*,*,*,*,OGI_TERMS
罷越候,,,,接尾辞,名詞的,一般,*,*,*,,罷越候,罷越候,,罷越候,,和,*,*,*,*,OGI_TERMS
罷通候,,,,接尾辞,名詞的,一般,*,*,*,,罷通候,罷通候,,罷通候,,和,*,*,*,*,OGI_TERMS
義,,,,接尾辞,名詞的,一般,*,*,*,,義,義,,義,,和,*,*,*,*,OGI_TERMS
致候,,,,接尾辞,名詞的,一般,*,*,*,,致候,致候,,致候,,和,*,*,*,*,OGI_TERMS
致居候,,,,接尾辞,名詞的,一般,*,*,*,,致居候,致居候,,致居候,,和,*,*,*,*,OGI_TERMS
致度存候,,,,接尾辞,名詞的,一般,*,*,*,,致度存候,致度存候,,致度存候,,和,*,*,*,*,OGI_TERMS
致間敷候,,,,接尾辞,名詞的,一般,*,*,*,,致間敷候,致間敷候,,致間敷候,,和,*,*,*,*,OGI_TERMS
被下,,,,接尾辞,名詞的,一般,*,*,*,,被下,被下,,被下,,和,*,*,*,*,OGI_TERMS
被下事,,,,接尾辞,名詞的,一般,*,*,*,,被下事,被下事,,被下事,,和,*,*,*,*,OGI_TERMS
被下候,,,,接尾辞,名詞的,一般,*,*,*,,被下候,被下候,,被下候,,和,*,*,*,*,OGI_TERMS
被下候事,,,,接尾辞,名詞的,一般,*,*,*,,被下候事,被下候事,,被下候事,,和,*,*,*,*,OGI_TERMS
被下右同断之事,,,,接尾辞,名詞的,一般,*,*,*,,被下右同断之事,被下右同断之事,,被下右同断之事,,和,*,*,*,*,OGI_TERMS
被下右同断事,,,,接尾辞,名詞的,一般,*,*,*,,被下右同断事,被下右同断事,,被下右同断事,,和,*,*,*,*,OGI_TERMS
被仕候事,,,,接尾辞,名詞的,一般,*,*,*,,被仕候事,被仕候事,,被仕候事,,和,*,*,*,*,OGI_TERMS
被付候,,,,接尾辞,名詞的,一般,*,*,*,,被付候,被付候,,被付候,,和,*,*,*,*,OGI_TERMS
被仰付,,,,助詞,格助詞,*,*,*,*,,被仰付,被仰付,,被仰付,,和,*,*,*,*,OGI_TERMS
被仰付事,,,,接尾辞,名詞的,一般,*,*,*,,被仰付事,被仰付事,,被仰付事,,和,*,*,*,*,OGI_TERMS
被仰付候,,,,接尾辞,名詞的,一般,*,*,*,,被仰付候,被仰付候,,被仰付候,,和,*,*,*,*,OGI_TERMS
被仰付候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰付候事,被仰付候事,,被仰付候事,,和,*,*,*,*,OGI_TERMS
被仰付候候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰付候候事,被仰付候候事,,被仰付候候事,,和,*,*,*,*,OGI_TERMS
被仰付改事,,,,接尾辞,名詞的,一般,*,*,*,,被仰付改事,被仰付改事,,被仰付改事,,和,*,*,*,*,OGI_TERMS
被仰付置,,,,接尾辞,名詞的,一般,*,*,*,,被仰付置,被仰付置,,被仰付置,,和,*,*,*,*,OGI_TERMS
被仰付置候,,,,接尾辞,名詞的,一般,*,*,*,,被仰付置候,被仰付置候,,被仰付置候,,和,*,*,*,*,OGI_TERMS
被仰付置候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰付置候事,被仰付置候事,,被仰付置候事,,和,*,*,*,*,OGI_TERMS
被仰入候,,,,接尾辞,名詞的,一般,*,*,*,,被仰入候,被仰入候,,被仰入候,,和,*,*,*,*,OGI_TERMS
被仰入候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰入候事,被仰入候事,,被仰入候事,,和,*,*,*,*,OGI_TERMS
被仰出,,,,接尾辞,名詞的,一般,*,*,*,,被仰出,被仰出,,被仰出,,和,*,*,*,*,OGI_TERMS
被仰出候,,,,接尾辞,名詞的,一般,*,*,*,,被仰出候,被仰出候,,被仰出候,,和,*,*,*,*,OGI_TERMS
被仰出候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰出候事,被仰出候事,,被仰出候事,,和,*,*,*,*,OGI_TERMS
被仰渡候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰渡候事,被仰渡候事,,被仰渡候事,,和,*,*,*,*,OGI_TERMS
被仰聞候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰聞候事,被仰聞候事,,被仰聞候事,,和,*,*,*,*,OGI_TERMS
被仰聞書付事,,,,接尾辞,名詞的,一般,*,*,*,,被仰聞書付事,被仰聞書付事,,被仰聞書付事,,和,*,*,*,*,OGI_TERMS
被仰越候,,,,接尾辞,名詞的,一般,*,*,*,,被仰越候,被仰越候,,被仰越候,,和,*,*,*,*,OGI_TERMS
被仰越候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰越候事,被仰越候事,,被仰越候事,,和,*,*,*,*,OGI_TERMS
被仰込候,,,,接尾辞,名詞的,一般,*,*,*,,被仰込候,被仰込候,,被仰込候,,和,*,*,*,*,OGI_TERMS
被仰遣候,,,,接尾辞,名詞的,一般,*,*,*,,被仰遣候,被仰遣候,,被仰遣候,,和,*,*,*,*,OGI_TERMS
被仰遣候事,,,,接尾辞,名詞的,一般,*,*,*,,被仰遣候事,被仰遣候事,,被仰遣候事,,和,*,*,*,*,OGI_TERMS
被借下候事,,,,接尾辞,名詞的,一般,*,*,*,,被借下候事,被借下候事,,被借下候事,,和,*,*,*,*,OGI_TERMS
被入置候事,,,,接尾辞,名詞的,一般,*,*,*,,被入置候事,被入置候事,,被入置候事,,和,*,*,*,*,OGI_TERMS
被召上,,,,接尾辞,名詞的,一般,*,*,*,,被召上,被召上,,被召上,,和,*,*,*,*,OGI_TERMS
被召上候,,,,接尾辞,名詞的,一般,*,*,*,,被召上候,被召上候,,被召上候,,和,*,*,*,*,OGI_TERMS
被召上候事,,,,接尾辞,名詞的,一般,*,*,*,,被召上候事,被召上候事,,被召上候事,,和,*,*,*,*,OGI_TERMS
被召仕候,,,,接尾辞,名詞的,一般,*,*,*,,被召仕候,被召仕候,,被召仕候,,和,*,*,*,*,OGI_TERMS
被召仕候事,,,,接尾辞,名詞的,一般,*,*,*,,被召仕候事,被召仕候事,,被召仕候事,,和,*,*,*,*,OGI_TERMS
被召出,,,,接尾辞,名詞的,一般,*,*,*,,被召出,被召出,,被召出,,和,*,*,*,*,OGI_TERMS
被召出候事,,,,接尾辞,名詞的,一般,*,*,*,,被召出候事,被召出候事,,被召出候事,,和,*,*,*,*,OGI_TERMS
被召呼,,,,接尾辞,名詞的,一般,*,*,*,,被召呼,被召呼,,被召呼,,和,*,*,*,*,OGI_TERMS
被召呼事,,,,接尾辞,名詞的,一般,*,*,*,,被召呼事,被召呼事,,被召呼事,,和,*,*,*,*,OGI_TERMS
被召呼候,,,,接尾辞,名詞的,一般,*,*,*,,被召呼候,被召呼候,,被召呼候,,和,*,*,*,*,OGI_TERMS
被召呼候事,,,,接尾辞,名詞的,一般,*,*,*,,被召呼候事,被召呼候事,,被召呼候事,,和,*,*,*,*,OGI_TERMS
被召寄事,,,,接尾辞,名詞的,一般,*,*,*,,被召寄事,被召寄事,,被召寄事,,和,*,*,*,*,OGI_TERMS
被召寄候事,,,,接尾辞,名詞的,一般,*,*,*,,被召寄候事,被召寄候事,,被召寄候事,,和,*,*,*,*,OGI_TERMS
被召成,,,,接尾辞,名詞的,一般,*,*,*,,被召成,被召成,,被召成,,和,*,*,*,*,OGI_TERMS
被召成候事,,,,接尾辞,名詞的,一般,*,*,*,,被召成候事,被召成候事,,被召成候事,,和,*,*,*,*,OGI_TERMS
被召替,,,,接尾辞,名詞的,一般,*,*,*,,被召替,被召替,,被召替,,和,*,*,*,*,OGI_TERMS
被召替候,,,,接尾辞,名詞的,一般,*,*,*,,被召替候,被召替候,,被召替候,,和,*,*,*,*,OGI_TERMS
被召替候事,,,,接尾辞,名詞的,一般,*,*,*,,被召替候事,被召替候事,,被召替候事,,和,*,*,*,*,OGI_TERMS
被召来候事,,,,接尾辞,名詞的,一般,*,*,*,,被召来候事,被召来候事,,被召来候事,,和,*,*,*,*,OGI_TERMS
被召直候事,,,,接尾辞,名詞的,一般,*,*,*,,被召直候事,被召直候事,,被召直候事,,和,*,*,*,*,OGI_TERMS
被召移,,,,接尾辞,名詞的,一般,*,*,*,,被召移,被召移,,被召移,,和,*,*,*,*,OGI_TERMS
被召移候,,,,接尾辞,名詞的,一般,*,*,*,,被召移候,被召移候,,被召移候,,和,*,*,*,*,OGI_TERMS
被召移候事,,,,接尾辞,名詞的,一般,*,*,*,,被召移候事,被召移候事,,被召移候事,,和,*,*,*,*,OGI_TERMS
被召置,,,,接尾辞,名詞的,一般,*,*,*,,被召置,被召置,,被召置,,和,*,*,*,*,OGI_TERMS
被召置候,,,,接尾辞,名詞的,一般,*,*,*,,被召置候,被召置候,,被召置候,,和,*,*,*,*,OGI_TERMS
被召連事,,,,接尾辞,名詞的,一般,*,*,*,,被召連事,被召連事,,被召連事,,和,*,*,*,*,OGI_TERMS
被召連候,,,,接尾辞,名詞的,一般,*,*,*,,被召連候,被召連候,,被召連候,,和,*,*,*,*,OGI_TERMS
被召連候事,,,,接尾辞,名詞的,一般,*,*,*,,被召連候事,被召連候事,,被召連候事,,和,*,*,*,*,OGI_TERMS
被官,,,,名詞,普通名詞,一般,*,*,*,,被官,被官,,被官,,和,*,*,*,*,OGI_TERMS
被差上事,,,,接尾辞,名詞的,一般,*,*,*,,被差上事,被差上事,,被差上事,,和,*,*,*,*,OGI_TERMS
被差上候,,,,接尾辞,名詞的,一般,*,*,*,,被差上候,被差上候,,被差上候,,和,*,*,*,*,OGI_TERMS
被差上候事,,,,接尾辞,名詞的,一般,*,*,*,,被差上候事,被差上候事,,被差上候事,,和,*,*,*,*,OGI_TERMS
被差下候事,,,,接尾辞,名詞的,一般,*,*,*,,被差下候事,被差下候事,,被差下候事,,和,*,*,*,*,OGI_TERMS
被差免,,,,接尾辞,名詞的,一般,*,*,*,,被差免,被差免,,被差免,,和,*,*,*,*,OGI_TERMS
被差免候,,,,接尾辞,名詞的,一般,*,*,*,,被差免候,被差免候,,被差免候,,和,*,*,*,*,OGI_TERMS
被差免候事,,,,接尾辞,名詞的,一般,*,*,*,,被差免候事,被差免候事,,被差免候事,,和,*,*,*,*,OGI_TERMS
被差出,,,,接尾辞,名詞的,一般,*,*,*,,被差出,被差出,,被差出,,和,*,*,*,*,OGI_TERMS
被差出事,,,,接尾辞,名詞的,一般,*,*,*,,被差出事,被差出事,,被差出事,,和,*,*,*,*,OGI_TERMS
被差出候,,,,接尾辞,名詞的,一般,*,*,*,,被差出候,被差出候,,被差出候,,和,*,*,*,*,OGI_TERMS
被差出候事,,,,接尾辞,名詞的,一般,*,*,*,,被差出候事,被差出候事,,被差出候事,,和,*,*,*,*,OGI_TERMS
被差出来候,,,,接尾辞,名詞的,一般,*,*,*,,被差出来候,被差出来候,,被差出来候,,和,*,*,*,*,OGI_TERMS
被差出置候事,,,,接尾辞,名詞的,一般,*,*,*,,被差出置候事,被差出置候事,,被差出置候事,,和,*,*,*,*,OGI_TERMS
被差帰候事,,,,接尾辞,名詞的,一般,*,*,*,,被差帰候事,被差帰候事,,被差帰候事,,和,*,*,*,*,OGI_TERMS
被差延候,,,,接尾辞,名詞的,一般,*,*,*,,被差延候,被差延候,,被差延候,,和,*,*,*,*,OGI_TERMS
被差延候事,,,,接尾辞,名詞的,一般,*,*,*,,被差延候事,被差延候事,,被差延候事,,和,*,*,*,*,OGI_TERMS
被差廻候事,,,,接尾辞,名詞的,一般,*,*,*,,被差廻候事,被差廻候事,,被差廻候事,,和,*,*,*,*,OGI_TERMS
被差戻候事,,,,接尾辞,名詞的,一般,*,*,*,,被差戻候事,被差戻候事,,被差戻候事,,和,*,*,*,*,OGI_TERMS
